episode_id,scenario_type,configuration,planner_seed,recovery_days,recovered,total_cost,service_cov,mean_service,air_expedites,air_expedite_noops,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count
11,compound,planner_daily_expedite_7d,mean,0.0,1.0,508528.289054708,0.0,1.0,2.2,0.0,44.2,0.0,2.2,73.6,0.0,0.0
11,compound,planner_daily_h28,mean,0.0,1.0,1567821.6740091448,0.0,1.0,29.4,5.4,59.2,0.0,29.4,31.4,0.0,0.0
11,compound,planner_daily_h56,mean,0.0,1.0,1441255.8595860046,0.0,1.0,36.0,12.0,84.0,0.0,36.0,0.0,0.0,0.0
11,compound,planner_daily_h14_k48,mean,0.0,1.0,1006546.2068392463,0.0,1.0,12.8,0.0,46.6,0.0,12.8,60.6,0.0,0.0
12,single,rl_only,,0.0,True,351620.27,0.0,1.0,,,,,,,,
12,single,crl,,0.0,True,340300.932,0.0,1.0,,,,,,,,
12,single,planner_weekly_h14,mean,0.0,1.0,385168.25190326007,0.0,1.0,0.0,0.0,104.0,0.0,0.0,16.0,0.0,0.0
12,single,planner_daily_h14,mean,0.0,1.0,386806.7763738877,0.0,1.0,0.0,0.0,10.0,0.0,0.0,110.0,0.0,0.0
12,single,planner_daily_no_expedite,mean,0.0,1.0,386806.7763738877,0.0,1.0,0.0,0.0,10.0,0.0,0.0,110.0,0.0,0.0
12,single,planner_daily_expedite_7d,mean,0.0,1.0,386806.7763738877,0.0,1.0,0.0,0.0,10.0,0.0,0.0,110.0,0.0,0.0
12,single,planner_daily_h28,mean,0.0,1.0,315779.98577202746,0.0,1.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
12,single,planner_daily_h56,mean,22.0,0.8,779700.9152930897,0.02287794216057602,0.996993024353495,15.2,0.0,104.8,0.0,15.2,0.0,0.0,0.0
12,single,planner_daily_h14_k48,mean,0.0,1.0,386806.7763738877,0.0,1.0,0.0,0.0,10.0,0.0,0.0,110.0,0.0,0.0
13,dual,rl_only,,36.4,True,451546.534,0.2181,0.9631,,,,,,,,
13,dual,crl,,8.6,True,435887.872,0.048,0.9953,,,,,,,,
13,dual,planner_weekly_h14,mean,97.0,1.0,579617.7829739692,0.2498197191401216,0.938696926629197,3.0,0.0,108.0,0.0,3.0,9.0,0.0,0.0
13,dual,planner_daily_h14,mean,19.4,1.0,1266360.05143124,0.042871239366124685,0.9914347284131854,16.0,0.0,60.2,2.4,16.0,41.4,0.0,0.0
13,dual,planner_daily_no_expedite,mean,97.0,1.0,514548.10090332467,0.25398030534216426,0.9421565310990563,0.0,0.0,51.4,9.0,0.0,59.6,0.0,0.0
13,dual,planner_daily_expedite_7d,mean,98.6,1.0,589900.9154099018,0.26161815007955214,0.9373289134393572,0.8,0.0,51.6,9.0,0.8,58.6,0.0,0.0
13,dual,planner_daily_h28,mean,39.4,1.0,914222.7330449817,0.06345743313967919,0.9895406264057913,9.0,0.0,54.2,9.8,9.0,47.0,0.0,0.0
13,dual,planner_daily_h56,mean,0.0,1.0,1438280.395431292,0.0,1.0,19.0,0.0,91.0,10.0,19.0,0.0,0.0,0.0
13,dual,planner_daily_h14_k48,mean,77.6,1.0,739247.3330838283,0.18469299363501238,0.9607332099971181,4.0,0.0,46.0,7.4,4.0,62.6,0.0,0.0
14,compound,rl_only,,32.0,True,390293.572,0.1433,0.979,,,,,,,,
14,compound,crl,,0.0,True,407205.972,0.0,1.0,,,,,,,,
14,compound,planner_weekly_h14,mean,110.0,0.0,457276.83482768864,0.1430726126482992,0.9743543871091165,4.0,0.0,115.0,1.0,4.0,0.0,0.0,0.0
14,compound,planner_daily_h14,mean,0.0,1.0,1535631.342950436,0.0,1.0,25.6,2.6,18.4,0.0,25.6,76.0,0.0,0.0
14,compound,planner_daily_no_expedite,mean,59.4,1.0,430846.96493571653,0.10893369001477471,0.9805208881369951,0.0,0.0,49.0,10.0,0.0,59.8,0.0,1.2
14,compound,planner_daily_expedite_7d,mean,43.6,1.0,565960.0976908973,0.09241411734440914,0.9851770628486453,3.0,0.0,45.2,8.8,3.0,61.8,0.0,1.2
14,compound,planner_daily_h28,mean,0.0,1.0,1315023.1591747464,0.0,1.0,15.0,0.0,10.0,9.0,15.0,86.0,0.0,0.0
14,compound,planner_daily_h56,mean,0.0,1.0,1346028.2354511807,0.0,1.0,17.6,0.0,92.4,10.0,17.6,0.0,0.0,0.0
14,compound,planner_daily_h14_k48,mean,0.0,1.0,1538933.288055496,0.0,1.0,25.0,2.0,19.0,0.0,25.0,76.0,0.0,0.0
15,single,rl_only,,0.0,True,384216.86,0.0,1.0,,,,,,,,
15,single,crl,,0.0,True,398640.664,0.0,1.0,,,,,,,,
15,single,planner_weekly_h14,mean,0.0,1.0,331926.0948761814,0.0,1.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
15,single,planner_daily_h14,mean,0.0,1.0,331926.0948761814,0.0,1.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
15,single,planner_daily_no_expedite,mean,0.0,1.0,331926.0948761814,0.0,1.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
15,single,planner_daily_expedite_7d,mean,0.0,1.0,331926.0948761814,0.0,1.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
15,single,planner_daily_h28,mean,0.0,1.0,352716.15606557427,0.0,1.0,0.0,0.0,119.6,0.4,0.0,0.0,0.0,0.0
15,single,planner_daily_h56,mean,21.8,1.0,780521.0965224651,0.037679192750622724,0.9929853361600209,10.4,0.0,104.2,5.4,10.4,0.0,0.0,0.0
15,single,planner_daily_h14_k48,mean,0.0,1.0,331926.0948761814,0.0,1.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
16,dual,rl_only,,0.0,True,363202.4,0.0,1.0,,,,,,,,
16,dual,crl,,0.0,True,355100.43,0.0,1.0,,,,,,,,
16,dual,planner_weekly_h14,mean,0.0,1.0,381191.2026567125,0.0,1.0,0.2,0.0,108.6,0.0,0.2,11.2,0.0,0.0
16,dual,planner_daily_h14,mean,0.0,1.0,388472.9067080088,0.0,1.0,0.0,0.0,30.8,0.0,0.0,89.2,0.0,0.0
16,dual,planner_daily_no_expedite,mean,0.0,1.0,388472.9067080088,0.0,1.0,0.0,0.0,30.8,0.0,0.0,89.2,0.0,0.0
16,dual,planner_daily_expedite_7d,mean,0.0,1.0,388472.9067080088,0.0,1.0,0.0,0.0,30.8,0.0,0.0,89.2,0.0,0.0
16,dual,planner_daily_h28,mean,0.0,1.0,1242135.9069498456,0.0,1.0,19.2,0.0,51.0,0.0,19.2,49.8,0.0,0.0
16,dual,planner_daily_h56,mean,0.0,1.0,1342052.5841140621,0.0,1.0,30.8,6.8,89.2,0.0,30.8,0.0,0.0,0.0
16,dual,planner_daily_h14_k48,mean,0.0,1.0,388472.9067080088,0.0,1.0,0.0,0.0,29.6,0.0,0.0,90.4,0.0,0.0
17,compound,rl_only,,90.4,True,546897.832,0.4306,0.8745,,,,,,,,
17,compound,crl,,89.8,True,474787.382,0.4078,0.891,,,,,,,,
17,compound,planner_weekly_h14,mean,74.0,1.0,584853.0750696218,0.4424718421402602,0.8820045795032809,4.0,0.0,116.0,0.0,4.0,0.0,0.0,0.0
