analysis,regime,configuration,episode_id,scenario_type,lpi,total_severity,planner_seed,total_cost,service_cov,air_expedites,recovery_0.90,recovery_0.95,recovery_0.98
threshold,baseline,planner_weekly,20,compound,2.585645,11,mean,657783.59388209,0.5364210591349557,4.0,59.0,59.0,59.0
threshold,baseline,planner_weekly,21,single,2.526313,5,mean,531925.9723634962,0.33141398375351844,0.0,76.0,76.0,76.0
threshold,baseline,planner_weekly,22,dual,2.814935,7,mean,372216.81532826065,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,23,compound,2.5805249999999997,12,mean,478505.8574588822,0.22347485073029777,5.0,82.0,108.0,108.0
threshold,baseline,planner_weekly,24,single,2.585645,3,mean,335530.25950484816,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,25,dual,2.6,6,mean,371505.1133555024,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,26,compound,2.814935,11,mean,425946.4991749145,0.0,1.8,0.0,0.0,0.0
threshold,baseline,planner_weekly,27,single,2.575405,3,mean,352769.9531272985,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,28,dual,2.5,8,mean,364701.3283657228,0.0,0.2,0.0,0.0,0.0
threshold,baseline,planner_weekly,29,compound,2.575405,12,mean,489971.30000118783,0.31903660284849006,3.0,64.2,64.2,64.2
threshold,baseline,planner_weekly,30,single,2.6,4,mean,415301.99613157427,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,31,dual,2.526313,5,mean,378132.50847841526,0.0,1.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,32,compound,2.5805249999999997,10,mean,385797.4499460547,0.0,3.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,33,single,2.5805249999999997,2,mean,319467.05495977995,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,34,dual,2.526313,6,mean,354798.0892838199,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,35,compound,2.526313,12,mean,567738.6076068429,0.3016187314303375,5.0,110.0,110.0,110.0
threshold,baseline,planner_weekly,36,single,2.526313,4,mean,400796.3834607285,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,37,dual,2.6,5,mean,340435.07603795204,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,38,compound,2.575405,11,mean,560686.2030259336,0.28289192874379226,4.0,109.0,109.0,109.0
threshold,baseline,planner_weekly,39,single,2.526313,5,mean,414517.44967760745,0.13656336620815504,0.0,81.0,81.0,81.0
threshold,baseline,planner_weekly,40,dual,2.526313,7,mean,379597.17207487795,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,41,compound,2.5,11,mean,514455.6702696979,0.43435638119701353,4.0,35.0,35.0,35.0
threshold,baseline,planner_weekly,42,single,2.575405,2,mean,342818.814151824,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,43,dual,2.814935,8,mean,570230.0042944767,0.3692756590006714,2.0,86.0,86.0,86.0
threshold,baseline,planner_weekly,44,compound,2.5805249999999997,12,mean,651700.5657830327,0.4314138860332686,4.0,69.0,69.0,69.0
threshold,baseline,planner_weekly,45,single,2.5,2,mean,327254.19400583865,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,46,dual,2.814935,8,mean,618358.6281356665,0.39833571299556586,3.0,55.0,55.0,55.0
threshold,baseline,planner_weekly,47,compound,2.585645,11,mean,531740.1431235648,0.270386578216846,3.0,74.0,81.0,81.0
threshold,baseline,planner_weekly,48,single,2.5805249999999997,3,mean,349510.02102817455,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,49,dual,2.526313,7,mean,434219.6587021636,0.2666129853913882,0.0,69.0,69.0,69.0
threshold,baseline,planner_weekly,50,compound,2.6,11,mean,705769.365510317,0.3770078596723776,4.0,110.0,110.0,110.0
threshold,baseline,planner_weekly,51,single,2.5,4,mean,369704.06612904853,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,52,dual,2.5805249999999997,6,mean,333620.0697868684,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,53,compound,2.5805249999999997,11,mean,441801.98070128623,0.15130228513142352,4.0,77.0,77.0,77.0
threshold,baseline,planner_weekly,54,single,2.585645,2,mean,372758.61364649725,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,55,dual,2.5,8,mean,364119.8967588111,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,56,compound,2.6,11,mean,701548.9544527392,0.3667498498071911,4.2,92.8,92.8,92.8
threshold,baseline,planner_weekly,57,single,2.585645,3,mean,416512.570814248,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,58,dual,2.575405,7,mean,365434.90877426986,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,59,compound,2.814935,11,mean,432601.58779220283,0.0,2.2,0.0,0.0,0.0
threshold,baseline,planner_weekly,60,single,2.6,5,mean,576636.8245248605,0.35894964222908465,0.0,109.0,109.0,109.0
threshold,baseline,planner_weekly,61,dual,2.585645,8,mean,399121.0101084924,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,62,compound,2.5805249999999997,13,mean,501861.5840893659,0.267881637884368,2.0,104.0,109.0,109.0
threshold,baseline,planner_weekly,63,single,2.5805249999999997,4,mean,381485.9463978978,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,64,dual,2.575405,9,mean,619535.1875259063,0.48609558647273526,3.2,72.8,72.8,89.6
threshold,baseline,planner_weekly,65,compound,2.6,9,mean,451880.2385895866,0.0,2.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,66,single,2.6,4,mean,361446.42872260057,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,67,dual,2.6,8,mean,590095.7247730928,0.4128164719888455,2.0,70.0,70.0,70.0
threshold,baseline,planner_weekly,68,compound,2.575405,10,mean,652163.0690302333,0.41570600349433856,4.0,84.6,84.6,84.6
threshold,baseline,planner_weekly,69,single,2.575405,3,mean,383029.0738676682,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,70,dual,2.575405,6,mean,319210.088447003,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,71,compound,2.585645,11,mean,536365.3462212913,0.23603371906171228,3.0,93.2,93.2,93.2
threshold,baseline,planner_weekly,72,single,2.5805249999999997,2,mean,389423.29619734146,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,73,dual,2.526313,6,mean,378205.8439368196,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,74,compound,2.575405,11,mean,452786.1233218016,0.03671848716705314,3.0,110.0,110.0,110.0
threshold,baseline,planner_weekly,75,single,2.585645,2,mean,354033.02876500797,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,76,dual,2.5805249999999997,8,mean,619858.5449503504,0.4053009525335714,1.2,88.2,88.2,109.0
threshold,baseline,planner_weekly,77,compound,2.814935,10,mean,412450.57926012896,0.0,3.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,78,single,2.575405,3,mean,366959.20389469207,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,79,dual,2.585645,8,mean,354444.72098945954,0.053867791169042625,0.0,108.0,108.0,108.0
threshold,baseline,planner_weekly,80,compound,2.814935,12,mean,518942.8402334273,0.26408625879681574,3.0,109.0,109.0,109.0
threshold,baseline,planner_weekly,81,single,2.575405,4,mean,414465.0979097785,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,82,dual,2.5805249999999997,7,mean,455131.64035264764,0.0,3.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,83,compound,2.585645,13,mean,596559.5811862502,0.40447558325886923,5.0,100.0,100.0,100.0
threshold,baseline,planner_weekly,84,single,2.585645,5,mean,502350.2175711497,0.20595809644867655,0.0,102.8,102.8,102.8
threshold,baseline,planner_weekly,85,dual,2.526313,9,mean,630014.1758464193,0.3989658935709265,1.4,98.8,104.0,104.0
threshold,baseline,planner_weekly,86,compound,2.5,11,mean,542359.2153032982,0.31595750105037046,3.4,98.6,98.6,98.6
threshold,baseline,planner_weekly,87,single,2.526313,2,mean,341397.7589490199,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,88,dual,2.6,6,mean,372109.46802635945,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,89,compound,2.5805249999999997,10,mean,458191.6437663628,0.2377745139492648,4.0,81.0,81.0,81.0
threshold,baseline,planner_weekly,90,single,2.6,5,mean,348144.51299611013,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,91,dual,2.5805249999999997,9,mean,699406.1093538014,0.3342372778569489,2.0,110.0,110.0,110.0
threshold,baseline,planner_weekly,92,compound,2.814935,10,mean,563883.5836615602,0.46084900141007157,2.2,59.0,59.0,59.0
threshold,baseline,planner_weekly,93,single,2.6,3,mean,428256.2593271037,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,94,dual,2.5805249999999997,7,mean,378499.10084909596,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,95,compound,2.814935,10,mean,462300.02153499366,0.0,3.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,96,single,2.5,5,mean,373502.60068051296,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,97,dual,2.585645,7,mean,403784.1409125846,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,98,compound,2.814935,12,mean,446421.4199121857,0.06131550871072698,4.0,34.0,34.0,39.0
threshold,baseline,planner_weekly,99,single,2.5805249999999997,5,mean,375097.1473063478,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,100,dual,2.5805249999999997,8,mean,418023.6580930904,0.16112437075832506,0.0,104.0,104.0,104.0
threshold,baseline,planner_weekly,101,compound,2.575405,11,mean,677639.058649406,0.42867355569071613,4.0,107.0,107.0,107.0
threshold,baseline,planner_weekly,102,single,2.5,2,mean,326763.64960782655,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,103,dual,2.814935,6,mean,320684.8244401521,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,104,compound,2.575405,9,mean,393769.14942711545,0.08137859821115903,0.2,79.2,79.2,79.2
threshold,baseline,planner_weekly,105,single,2.5,4,mean,372041.9091710677,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,106,dual,2.5,9,mean,445264.5870272032,0.11756301885257947,2.4,96.8,96.8,96.8
threshold,baseline,planner_weekly,107,compound,2.5,9,mean,394909.91676653345,0.0,3.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,108,single,2.5,3,mean,293546.48233901395,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,109,dual,2.575405,8,mean,458794.52945068077,0.029992564841644347,0.0,19.8,19.8,19.8
threshold,baseline,planner_weekly,110,compound,2.6,13,mean,575164.1127899974,0.27683674568051153,4.0,102.0,102.0,102.0
threshold,baseline,planner_weekly,111,single,2.575405,3,mean,382011.2393014327,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,112,dual,2.5805249999999997,5,mean,370197.2754732619,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,113,compound,2.5805249999999997,10,mean,368640.83906787884,0.0,1.2,0.0,0.0,0.0
threshold,baseline,planner_weekly,114,single,2.814935,5,mean,404942.9264211043,0.07779439571820927,0.0,45.6,45.6,45.6
threshold,baseline,planner_weekly,115,dual,2.5805249999999997,8,mean,502876.40905502887,0.2405025126069817,3.0,77.0,77.0,77.0
threshold,baseline,planner_weekly,116,compound,2.814935,12,mean,446972.4737424948,0.3572117408076002,3.0,36.0,36.0,36.0
threshold,baseline,planner_weekly,117,single,2.585645,2,mean,367350.6092773071,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,118,dual,2.5,9,mean,601393.4434310853,0.3436063424688043,3.0,109.6,109.6,109.6
threshold,baseline,planner_weekly,119,compound,2.5,11,mean,584997.3937702093,0.3303582740957368,4.0,100.0,100.0,100.0
threshold,baseline,planner_weekly,120,single,2.5805249999999997,3,mean,378568.016478957,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,121,dual,2.5805249999999997,8,mean,412902.8167636419,0.11708724570460034,0.8,64.2,64.2,64.2
threshold,baseline,planner_weekly,122,compound,2.575405,12,mean,564199.8752592407,0.296117565891594,3.0,108.0,108.0,108.0
threshold,baseline,planner_weekly,123,single,2.526313,3,mean,406915.85437698715,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,124,dual,2.575405,8,mean,605514.4475245799,0.45343652833491965,1.2,81.4,81.4,81.4
threshold,baseline,planner_weekly,125,compound,2.575405,10,mean,513137.0943336383,0.08725966976159409,3.0,90.0,90.0,90.0
threshold,baseline,planner_weekly,126,single,2.6,2,mean,350580.4776965405,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,127,dual,2.814935,5,mean,374643.1298830742,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,128,compound,2.814935,9,mean,399625.5819310235,0.0,3.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,129,single,2.6,5,mean,394406.01587125316,0.12047525543968449,0.0,75.0,75.0,75.0
threshold,baseline,planner_weekly,130,dual,2.5,8,mean,477300.73464198195,0.28060278306494235,1.6,68.0,68.0,68.0
threshold,baseline,planner_weekly,131,compound,2.6,10,mean,423711.73148925696,0.0,3.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,132,single,2.5805249999999997,4,mean,379137.3233779715,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,133,dual,2.5805249999999997,9,mean,468996.7086724363,0.28136488659888753,2.4,93.6,93.6,98.8
threshold,baseline,planner_weekly,134,compound,2.5805249999999997,12,mean,470722.141461014,0.1739426279109184,4.0,36.0,36.0,36.0
threshold,baseline,planner_weekly,135,single,2.5805249999999997,5,mean,404293.6440335546,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,136,dual,2.5805249999999997,8,mean,566934.9728641957,0.3517891684085089,3.0,35.0,35.0,35.0
threshold,baseline,planner_weekly,137,compound,2.585645,9,mean,421025.48685955536,0.0,2.4,0.0,0.0,0.0
threshold,baseline,planner_weekly,138,single,2.814935,2,mean,333015.80819978885,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,139,dual,2.585645,9,mean,465879.05641703436,0.22362581103602466,2.0,82.8,82.8,82.8
threshold,baseline,planner_weekly,140,compound,2.526313,11,mean,432500.8280122302,0.1303118529456035,5.0,101.0,101.0,101.0
threshold,baseline,planner_weekly,141,single,2.5,3,mean,387369.4540731728,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,142,dual,2.575405,6,mean,377516.8994959056,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,143,compound,2.6,12,mean,607113.9319686833,0.37942930924217527,4.0,94.0,94.0,94.0
threshold,baseline,planner_weekly,144,single,2.585645,5,mean,408068.4749073086,0.03520880626793895,0.0,110.0,110.0,110.0
threshold,baseline,planner_weekly,145,dual,2.575405,9,mean,543943.3284785779,0.4501633819137738,1.0,75.0,75.0,75.0
threshold,baseline,planner_weekly,146,compound,2.6,12,mean,551245.2426848597,0.1943203217264159,4.0,42.0,108.0,108.0
threshold,baseline,planner_weekly,147,single,2.5805249999999997,5,mean,388253.8154406747,0.12989226868167597,0.0,96.0,96.0,96.0
threshold,baseline,planner_weekly,148,dual,2.5,9,mean,594926.0339910968,0.3269610674677837,2.0,108.0,108.0,108.0
threshold,baseline,planner_weekly,149,compound,2.6,10,mean,369168.9794774059,0.0,1.6,0.0,0.0,0.0
threshold,baseline,planner_daily,0,single,2.585645,2,mean,332563.0591712982,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,1,dual,2.526313,7,mean,615678.10691402,0.30114555368205076,1.6,84.4,84.4,84.4
threshold,baseline,planner_daily,2,compound,2.5805249999999997,9,mean,1239695.3956950228,0.0,22.6,0.0,0.0,0.0
threshold,baseline,planner_daily,3,single,2.585645,3,mean,345729.9334943593,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,4,dual,2.814935,8,mean,1067283.0069939026,0.29391785257706227,13.4,110.0,110.0,110.0
threshold,baseline,planner_daily,5,compound,2.585645,12,mean,1483378.1400267673,0.5737835255647987,27.2,30.4,30.4,30.4
threshold,baseline,planner_daily,6,single,2.526313,5,mean,390295.1960526101,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,7,dual,2.5805249999999997,7,mean,1219721.6034346013,0.17431786483069336,13.8,43.2,43.2,43.2
threshold,baseline,planner_daily,8,compound,2.814935,12,mean,1149868.122332586,0.291416970881582,16.6,43.6,43.6,43.6
threshold,baseline,planner_daily,9,single,2.5805249999999997,5,mean,399242.9202937264,0.20694040611744308,0.0,44.0,44.0,44.0
threshold,baseline,planner_daily,10,dual,2.6,8,mean,998397.7537816571,0.4216966712892309,9.0,105.6,105.6,105.6
threshold,baseline,planner_daily,11,compound,2.5805249999999997,10,mean,1185441.2125791772,0.021321713833728086,14.4,22.0,22.0,22.0
threshold,baseline,planner_daily,12,single,2.526313,5,mean,386806.7763738877,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,13,dual,2.6,8,mean,1266360.0514312403,0.042871239366124685,16.0,8.0,19.4,19.4
threshold,baseline,planner_daily,14,compound,2.5805249999999997,11,mean,1535631.342950436,0.0,25.6,0.0,0.0,0.0
threshold,baseline,planner_daily,15,single,2.5805249999999997,3,mean,331926.0948761814,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,16,dual,2.526313,6,mean,388472.9067080088,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,17,compound,2.5805249999999997,12,mean,1572013.620513734,0.54189292077734,25.6,33.2,33.2,33.2
threshold,baseline,planner_daily,18,single,2.5805249999999997,4,mean,353253.97989165876,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,19,dual,2.814935,7,mean,462132.3210868247,0.1911073471193333,0.0,68.4,68.4,68.4
threshold,baseline,planner_daily,20,compound,2.585645,11,mean,1546662.8329763203,0.5254225496652389,30.8,30.0,30.0,30.0
threshold,baseline,planner_daily,21,single,2.526313,5,mean,549056.5150150908,0.37953075216093995,0.0,76.0,76.0,76.0
threshold,baseline,planner_daily,22,dual,2.814935,7,mean,372216.81532826065,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,23,compound,2.5805249999999997,12,mean,1470429.710803078,0.2741136645613234,26.2,30.0,30.0,30.0
threshold,baseline,planner_daily,24,single,2.585645,3,mean,335530.25950484816,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,25,dual,2.6,6,mean,381488.32667417143,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,26,compound,2.814935,11,mean,827856.284617359,0.0,8.4,0.0,0.0,0.0
threshold,baseline,planner_daily,27,single,2.575405,3,mean,352769.9531272985,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,28,dual,2.5,8,mean,391773.0368731363,0.0,0.4,0.0,0.0,0.0
threshold,baseline,planner_daily,29,compound,2.575405,12,mean,1371324.9023164478,0.04424325707414012,24.4,0.0,41.0,41.0
threshold,baseline,planner_daily,30,single,2.6,4,mean,416251.0655866762,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,31,dual,2.526313,5,mean,352071.15179774235,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,32,compound,2.5805249999999997,10,mean,1034229.8420690894,0.038101797238579774,14.8,13.8,13.8,13.8
threshold,baseline,planner_daily,33,single,2.5805249999999997,2,mean,319467.05495977995,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,34,dual,2.526313,6,mean,354798.0892838199,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,35,compound,2.526313,12,mean,1260543.6619052584,0.4552260870040158,29.0,30.0,30.0,30.0
threshold,baseline,planner_daily,36,single,2.526313,4,mean,400796.3834607285,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,37,dual,2.6,5,mean,340435.07603795204,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,38,compound,2.575405,11,mean,1463947.0521675502,0.44639179265863477,28.8,29.0,29.0,29.0
threshold,baseline,planner_daily,39,single,2.526313,5,mean,383274.6392632002,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,40,dual,2.526313,7,mean,379597.17207487795,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,41,compound,2.5,11,mean,1482509.6080458318,0.3933237793887669,21.0,34.0,34.0,34.0
threshold,baseline,planner_daily,42,single,2.575405,2,mean,342818.814151824,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,43,dual,2.814935,8,mean,1027848.2527574135,0.39174247412255603,12.4,110.0,110.0,110.0
threshold,baseline,planner_daily,44,compound,2.5805249999999997,12,mean,1627700.2265196189,0.4619667575531575,29.0,33.0,33.0,33.0
threshold,baseline,planner_daily,45,single,2.5,2,mean,327254.19400583865,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,46,dual,2.814935,8,mean,1317819.5886637121,0.35381565884841215,17.0,61.6,61.6,61.6
threshold,baseline,planner_daily,47,compound,2.585645,11,mean,1683236.5805943243,0.38483818662218,23.0,34.4,34.4,34.4
threshold,baseline,planner_daily,48,single,2.5805249999999997,3,mean,349787.8382147088,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,49,dual,2.526313,7,mean,464877.79501698696,0.23285883232689325,0.8,64.0,64.0,64.0
threshold,baseline,planner_daily,50,compound,2.6,11,mean,1694093.6139999952,0.4896363093593868,26.8,32.2,32.2,32.2
threshold,baseline,planner_daily,51,single,2.5,4,mean,372110.89186583954,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,52,dual,2.5805249999999997,6,mean,334492.2283309613,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,53,compound,2.5805249999999997,11,mean,1370498.6759979355,0.0627928624402641,23.6,31.0,31.0,31.0
threshold,baseline,planner_daily,54,single,2.585645,2,mean,372758.61364649725,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,55,dual,2.5,8,mean,383907.30325652583,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,56,compound,2.6,11,mean,1728498.6193182287,0.4304486580366513,25.2,32.8,32.8,32.8
threshold,baseline,planner_daily,57,single,2.585645,3,mean,416874.4598865072,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,58,dual,2.575405,7,mean,363453.5206654419,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,59,compound,2.814935,11,mean,888430.6843185637,0.0,9.6,0.0,0.0,0.0
threshold,baseline,planner_daily,60,single,2.6,5,mean,584985.025353784,0.34631526582903954,0.0,104.2,104.2,104.2
threshold,baseline,planner_daily,61,dual,2.585645,8,mean,407134.193535291,0.05841357228530224,0.0,22.0,22.0,22.0
threshold,baseline,planner_daily,62,compound,2.5805249999999997,13,mean,976169.4889566969,0.24325276930623327,16.8,63.8,63.8,63.8
threshold,baseline,planner_daily,63,single,2.5805249999999997,4,mean,381999.41341169557,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,64,dual,2.575405,9,mean,1416755.2610495328,0.3297690441869632,21.8,23.8,23.8,25.2
threshold,baseline,planner_daily,65,compound,2.6,9,mean,443550.76132305537,0.03875348593111495,0.4,44.0,44.0,44.0
threshold,baseline,planner_daily,66,single,2.6,4,mean,360807.7614433371,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,67,dual,2.6,8,mean,1105460.810924913,0.30849043380333513,15.0,76.0,76.0,76.0
threshold,baseline,planner_daily,68,compound,2.575405,10,mean,1593238.5665996417,0.34846939609002026,26.8,28.0,28.0,28.0
threshold,baseline,planner_daily,69,single,2.575405,3,mean,383029.0738676682,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,70,dual,2.575405,6,mean,319210.088447003,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,71,compound,2.585645,11,mean,1439039.196855336,0.18938874865799415,19.2,47.6,47.6,47.6
threshold,baseline,planner_daily,72,single,2.5805249999999997,2,mean,389423.29619734146,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,73,dual,2.526313,6,mean,384155.2971297483,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,74,compound,2.575405,11,mean,1197427.0737375428,0.08493379337616012,15.6,22.0,22.0,22.0
threshold,baseline,planner_daily,75,single,2.585645,2,mean,354033.02876500797,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_daily,76,dual,2.5805249999999997,8,mean,1084278.7929747857,0.4513314233840629,10.0,109.8,109.8,109.8
threshold,baseline,planner_daily,77,compound,2.814935,10,mean,1066315.812445484,0.11942323811703592,13.8,66.0,66.0,66.0
threshold,baseline,planner_daily,78,single,2.575405,3,mean,366959.20389469207,0.0,0.0,0.0,0.0,0.0
